지표,지역,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
지가변동률(%),전국,0.670,1.320,8.980,3.430,3.860,4.986,5.617,3.886,-0.319,0.955,1.046,1.166,0.956,1.135,1.964,2.402,2.700,3.879,4.584,3.915,3.678,4.173,2.733,0.823,2.151,2.250
지가변동률(%),경기,1.920,1.910,13.060,5.120,6.120,5.686,5.074,4.229,-0.267,1.217,1.485,1.470,1.038,0.912,1.236,1.733,2.231,3.450,4.421,4.291,3.978,4.305,3.111,1.083,2.546,2.322
지가변동률(%),성남시,0.810,1.130,10.700,14.050,6.940,5.433,5.549,3.642,-2.060,0.809,1.089,1.267,1.028,1.361,0.837,1.348,2.496,3.385,5.651,5.036,4.473,4.781,3.332,1.381,3.571,3.097
지가변동률(%),수정구,0.620,1.080,10.560,11.850,4.850,5.622,7.352,3.486,-1.405,1.219,1.033,1.446,1.399,1.244,1.053,1.566,2.701,4.675,6.440,6.037,6.227,6.577,3.598,3.141,4.915,3.122
지가변동률(%),수진동,,,,,,,,,,,,,,,0.066,1.386,1.063,1.853,3.896,7.706,11.990,10.674,2.859,2.596,4.426,3.725
지가지수(2025.12=100기준 환산전 원지수),전국,49.166,49.823,54.295,56.157,58.321,61.224,64.662,67.175,66.960,67.600,68.308,69.104,69.765,70.557,71.942,73.670,75.659,78.594,82.196,85.414,88.556,92.251,94.773,95.553,97.609,99.805
지가지수(2025.12=100기준 환산전 원지수),경기,45.007,45.868,51.863,54.518,57.856,61.126,64.228,66.944,66.763,67.576,68.579,69.587,70.309,70.950,71.827,73.072,74.702,77.279,80.696,84.158,87.506,91.273,94.112,95.131,97.553,99.818
지가지수(2025.12=100기준 환산전 원지수),성남시,41.578,42.049,46.550,53.093,56.769,59.855,63.175,65.476,64.128,64.648,65.352,66.180,66.860,67.770,68.337,69.258,70.987,73.390,77.538,81.443,85.086,89.154,92.124,93.396,96.732,99.727
지가지수(2025.12=100기준 환산전 원지수),수정구,37.889,38.299,42.345,47.363,49.653,52.444,56.299,58.262,57.443,58.143,58.743,59.593,60.427,61.178,61.822,62.790,64.486,67.501,71.848,76.186,80.930,86.252,89.356,92.163,96.692,99.711
지가지수(2025.12=100기준 환산전 원지수),수진동,,,,,,,,,,,,,,,60.174,61.008,61.657,62.800,65.246,70.275,78.701,87.101,89.591,91.917,95.986,99.561
